dataset,split,sample_id,relative_path,width,height,image_format,sha256
w_bench_det_inversion_formal,calibration,10_128057.png,10_128057.png,512,512,JPEG,19d5eb989a6d6d5c0797dcee5d71920876d4db14cbe6bb70d338634239c5a2c5
w_bench_det_inversion_formal,calibration,11_128120.png,11_128120.png,512,512,JPEG,c12d8fbdf9804f6038d11ce41d787538cceeed8a096ebc6dd3bd1aa5f09c8d27
w_bench_det_inversion_formal,calibration,12_128279.png,12_128279.png,512,512,JPEG,fa297f6c61af8b8c21639dd1175ff33aed1026e61b2f6b0cc05cf6527728f549
w_bench_det_inversion_formal,calibration,13_128402.png,13_128402.png,512,512,JPEG,0bab9e623f8049e85c8ba2a0a884ebc8b0914c4da77b8a6ea994399a25f4e3c2
w_bench_det_inversion_formal,calibration,14_128518.png,14_128518.png,512,512,JPEG,e7d422ba8ab7715d999acdd47fc68d50c6aa4e44e6a35ad38e0d97be37698d50
w_bench_det_inversion_formal,calibration,15_128604.png,15_128604.png,512,512,JPEG,7da423ba6b9cc2f1eb6ef9bfe24eb47e6da6e54dc403fbad9b2ddf560dd08828
w_bench_det_inversion_formal,calibration,16_128619.png,16_128619.png,512,512,JPEG,048df1ec191b45bd8b64ddc87abf0863188ffd39d0237db955ba60f249f0f5bd
w_bench_det_inversion_formal,calibration,17_128793.png,17_128793.png,512,512,JPEG,96636789685465c942d935dc9fd6ce4754034727f7ca14dfe31347cc998a40e9
w_bench_det_inversion_formal,calibration,18_128841.png,18_128841.png,512,512,JPEG,43dc441da1c58ab614f25d23ceec66b1f8f298e02d0f7234a1d5bdcbee8b74d5
w_bench_det_inversion_formal,calibration,19_128867.png,19_128867.png,512,512,JPEG,56b3af3c3ad83e52744ae8e66b90cc9e5f8bdd4eff93596098a05364265ba5a7
w_bench_det_inversion_formal,calibration,20_129000.png,20_129000.png,512,512,JPEG,2e121bf511bb06b3db865abb4b01ab446de1626afa1daeed274b788a330a78b9
w_bench_det_inversion_formal,calibration,21_129023.png,21_129023.png,512,512,JPEG,49a6c21e82cc9ae92debba099e1fb7e31a7b192e60fb5aed5897225709c6d6c1
w_bench_det_inversion_formal,calibration,22_129090.png,22_129090.png,512,512,JPEG,5b75435e3212b7bb59e9d550907b07818a01ed266e1a134e45de7bd0492ec476
w_bench_det_inversion_formal,calibration,23_129160.png,23_129160.png,512,512,JPEG,ee9013c59b67ab454903fa95ee0eeb51a9f317a526db932e11c090462eaaafd3
w_bench_det_inversion_formal,calibration,24_129238.png,24_129238.png,512,512,JPEG,728d36933b3dc7ebd5f1bbef1e590f9bf4070861d110922b34847339b32f6863
w_bench_det_inversion_formal,calibration,25_129377.png,25_129377.png,512,512,JPEG,5c3c4d935f574d3d660817037931465576aceec7e411688a76837a97b30b3e29
w_bench_det_inversion_formal,calibration,26_129414.png,26_129414.png,512,512,JPEG,5985cf0cbbf6e55e40bbccc3823f250754c42c0e5f31b3fada73bc9c8cb2a283
w_bench_det_inversion_formal,calibration,27_129503.png,27_129503.png,512,512,JPEG,9e4fe5d039281ba78acca57ca9ab79472e9adce51c6733a1f1d472d5931eaf2d
w_bench_det_inversion_formal,calibration,28_129661.png,28_129661.png,512,512,JPEG,06b42c884e1f5263c4dc1f68cbda5449cd31fdce22053fef1d1231c61e22dfee
w_bench_det_inversion_formal,calibration,29_129851.png,29_129851.png,512,512,JPEG,f3254714a8ad7ea5254cdc40b6e6b892ca34b5ce12f78127612e5af9ad9ae11d
w_bench_det_inversion_formal,calibration,30_129968.png,30_129968.png,512,512,JPEG,e59f6a58643204d717b3d78eb0e38ea51dd9c35b7a8d41a87e6d5a54875de5fb
w_bench_det_inversion_formal,calibration,31_130111.png,31_130111.png,512,512,JPEG,75e2dcc58d1c1acc0f4f126d929b4b5ba6af68f7ba12c768695cd3bd3202ccc9
w_bench_det_inversion_formal,calibration,32_130115.png,32_130115.png,512,512,JPEG,91805132391b77c30fff94886e8f78dfc080f34a5d41188769cfe1157168939b
w_bench_det_inversion_formal,calibration,33_130126.png,33_130126.png,512,512,JPEG,5f7cc358b67393d564b28454927932677ec8f5367497b6a327197494e6639e10
w_bench_det_inversion_formal,calibration,34_130130.png,34_130130.png,512,512,JPEG,60d4c8c9f5710a92af2a92f1bdbc793a2651e8b987ea00db3777388c24802893
w_bench_det_inversion_formal,calibration,35_130170.png,35_130170.png,512,512,JPEG,84439365337c8272b4a2d210a2e8b6ffc451a0e317e295b61aafdd3364dc59d2
w_bench_det_inversion_formal,calibration,36_130571.png,36_130571.png,512,512,JPEG,85035d287bdda1fd86a4ba343f48ed16ee92135cab8445828967072699beec3f
w_bench_det_inversion_formal,calibration,37_130812.png,37_130812.png,512,512,JPEG,c31ee9c7f6529384f912a011683bc66bb487068c513b7dec5f06ba4eceba9106
w_bench_det_inversion_formal,calibration,38_130984.png,38_130984.png,512,512,JPEG,37e0e00b6f59a143dd5872c84e1ac305d178c71ae7da18a4bddf22427c9a3177
